Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 0.1
Tolerance: 1e-10
Iterations needed: 71518
Calculation time; 2.85762

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
0.917382 0.000779239 0.00193302 0.00329507
2.23513 0.00157751 0.00391167 0.0066637
4.27897 0.0023946 0.00593375 0.0100978
7.07682 0.00323027 0.00799699 0.0135891
10.6398 0.00408428 0.010099 0.0171289
14.9727 0.00495637 0.0122375 0.0207086
20.0776 0.00584626 0.0144098 0.0243192
25.9548 0.00675369 0.0166135 0.0279516
32.6042 0.00767835 0.0188459 0.0315966
40.0249 0.00861994 0.0211043 0.0352448
48.2156 0.00957814 0.023386 0.038887
57.1747 0.0105526 0.0256882 0.0425136
66.9003 0.011543 0.028008 0.046115
77.3902 0.0125491 0.0303426 0.0496818
88.6422 0.0135703 0.032689 0.0532046
100.654 0.0146064 0.0350442 0.0566737
113.422 0.0156569 0.0374053 0.0600799
126.943 0.0167215 0.0397692 0.0634139
141.215 0.0177998 0.0421328 0.0666664
156.234 0.0188913 0.0444931 0.0698284
171.996 0.0199956 0.0468469 0.0728911
188.497 0.0211123 0.0491911 0.0758457
205.734 0.0222409 0.0515226 0.0786839
223.702 0.023381 0.0538382 0.0813973
242.398 0.0245321 0.0561348 0.083978
261.816 0.0256937 0.0584092 0.0864182
281.951 0.0268654 0.0606584 0.0887107
302.8 0.0280466 0.0628792 0.0908484
324.356 0.0292368 0.0650684 0.0928244
346.615 0.0304356 0.0672231 0.0946326
369.57 0.0316424 0.0693402 0.0962669
393.218 0.0328567 0.0714165 0.0977217
417.551 0.034078 0.0734492 0.0989919
442.564 0.0353057 0.0754352 0.100073
468.25 0.0365393 0.0773716 0.10096
494.604 0.0377781 0.0792556 0.10165
521.619 0.0390218 0.0810843 0.102139
549.289 0.0402697 0.082855 0.102425
577.606 0.0415211 0.0845649 0.102504
606.564 0.0427757 0.0862113 0.102376
636.156 0.0440327 0.0877918 0.102038
666.374 0.0452916 0.0893037 0.101491
697.211 0.0465518 0.0907447 0.100733
728.66 0.0478127 0.0921122 0.0997655
760.713 0.0490738 0.0934042 0.0985883
793.362 0.0503343 0.0946183 0.097203
826.599 0.0515938 0.0957524 0.0956114
860.416 0.0528516 0.0968045 0.0938158
894.804 0.054107 0.0977727 0.0918189
929.756 0.0553596 0.0986551 0.0896243
965.263 0.0566086 0.09945 0.0872356
1001.32 0.0578535 0.100156 0.0846572
1037.91 0.0590937 0.100771 0.0818941
1075.03 0.0603285 0.101294 0.0789515
1112.66 0.0615573 0.101723 0.0758352
1150.81 0.0627796 0.102058 0.0725514
1189.46 0.0639946 0.102297 0.0691069
1228.6 0.0652018 0.102439 0.0655087
1268.22 0.0664006 0.102484 0.0617645
1308.32 0.0675904 0.10243 0.0578821
1348.88 0.0687705 0.102277 0.0538698
1389.88 0.0699404 0.102025 0.0497363
1431.34 0.0710994 0.101673 0.0454906
1473.22 0.072247 0.101221 0.041142
1515.53 0.0733826 0.100669 0.0367002
1558.24 0.0745055 0.100016 0.0321748
1601.36 0.0756151 0.0992634 0.0275762
1644.87 0.076711 0.0984108 0.0229146
1688.76 0.0777925 0.0974587 0.0182005
1733.02 0.0788589 0.0964076 0.0134447
1777.64 0.0799099 0.095258 0.00865805
1822.61 0.0809447 0.0940108 0.00385143
1867.91 0.0819629 0.0926668 -0.000964086
1913.54 0.0829639 0.0912271 -0.00577737
1959.48 0.0839471 0.0896926 -0.0105773
2005.73 0.0849119 0.0880648 -0.0153527
2052.27 0.085858 0.0863448 -0.0200924
2099.09 0.0867847 0.0845343 -0.0247853
2146.17 0.0876915 0.0826348 -0.0294206
2193.52 0.0885779 0.080648 -0.0339871
2241.11 0.0894434 0.0785758 -0.0384743
2288.94 0.0902875 0.0764201 -0.0428714
2336.99 0.0911098 0.0741829 -0.047168
2385.25 0.0919097 0.0718665 -0.051354
2433.71 0.0926868 0.069473 -0.0554194
2482.36 0.0934407 0.0670048 -0.0593544
2531.18 0.0941708 0.0644645 -0.0631496
2580.17 0.0948768 0.0618546 -0.066796
2629.3 0.0955582 0.0591776 -0.0702847
2678.58 0.0962146 0.0564365 -0.0736074
2727.99 0.0968456 0.053634 -0.076756
2777.51 0.0974509 0.050773 -0.0797228
2827.13 0.0980299 0.0478566 -0.0825008
2876.85 0.0985825 0.0448878 -0.0850831
2926.65 0.0991081 0.0418698 -0.0874635
2976.51 0.0996064 0.0388058 -0.089636
3026.43 0.100077 0.0356991 -0.0915954
3076.39 0.10052 0.032553 -0.0933368
3126.38 0.100935 0.029371 -0.0948559
3176.38 0.101321 0.0261565 -0.0961489
3226.4 0.101678 0.022913 -0.0972125
3276.41 0.102006 0.0196441 -0.0980441
3326.4 0.102305 0.0163534 -0.0986415
3376.36 0.102575 0.0130445 -0.0990032
3426.28 0.102814 0.009721 -0.099128
3476.14 0.103024 0.00638668 -0.0990157
3525.93 0.103203 0.00304523 -0.0986662
3575.65 0.103352 -0.000299625 -0.0980803
3625.27 0.10347 -0.00364415 -0.0972593
3674.79 0.103557 -0.00698458 -0.096205
3724.2 0.103613 -0.0103172 -0.0949198
3773.47 0.103639 -0.0136382 -0.0934067
3822.61 0.103633 -0.0169439 -0.0916693
3871.6 0.103596 -0.0202304 -0.0897115
3920.42 0.103527 -0.0234942 -0.0875381
3969.06 0.103427 -0.0267315 -0.0851541
4017.52 0.103295 -0.0299386 -0.0825652
4065.78 0.103132 -0.0331119 -0.0797775
4113.83 0.102937 -0.0362478 -0.0767977
4161.65 0.10271 -0.0393426 -0.0736329
4209.24 0.102452 -0.0423929 -0.0702907
4256.59 0.102161 -0.0453951 -0.0667791
4303.67 0.10184 -0.0483459 -0.0631064
4350.49 0.101486 -0.0512418 -0.0592815
4397.03 0.101101 -0.0540796 -0.0553136
4443.27 0.100684 -0.0568559 -0.0512122
4489.21 0.100236 -0.0595676 -0.0469871
4534.84 0.0997562 -0.0622116 -0.0426487
4580.14 0.0992452 -0.0647848 -0.0382072
4625.1 0.098703 -0.0672842 -0.0336734
4669.71 0.0981297 -0.0697071 -0.0290583
4713.97 0.0975254 -0.0720505 -0.0243729
4757.86 0.0968903 -0.0743118 -0.0196287
4801.36 0.0962246 -0.0764885 -0.014837
4844.48 0.0955284 -0.0785779 -0.0100094
4887.19 0.0948019 -0.0805777 -0.00515763
4929.5 0.0940454 -0.0824855 -0.000293381
4971.38 0.093259 -0.0842993 0.00457158
5012.82 0.0924429 -0.0860168 0.00942548
5053.83 0.0915974 -0.0876361 0.0142566
5094.38 0.0907228 -0.0891554 0.0190532
5134.47 0.0898193 -0.0905728 0.0238037
5174.09 0.0888872 -0.0918868 0.0284966
5213.22 0.0879268 -0.0930958 0.0331206
5251.87 0.0869383 -0.0941985 0.0376644
5290.01 0.0859221 -0.0951936 0.0421171
5327.64 0.0848786 -0.0960799 0.0464679
5364.76 0.0838079 -0.0968565 0.0507062
5401.34 0.0827105 -0.0975224 0.0548218
5437.39 0.0815868 -0.0980768 0.0588047
5472.89 0.0804371 -0.0985193 0.0626454
5507.83 0.0792617 -0.0988492 0.0663345
5542.22 0.078061 -0.0990662 0.069863
5576.03 0.0768355 -0.09917 0.0732226
5609.26 0.0755855 -0.0991606 0.076405
5641.9 0.0743115 -0.099038 0.0794025
5673.94 0.0730138 -0.0988023 0.082208
5705.39 0.071693 -0.0984538 0.0848146
5736.21 0.0703493 -0.097993 0.0872161
5766.42 0.0689834 -0.0974203 0.0894066
5796.01 0.0675955 -0.0967366 0.091381
5824.96 0.0661863 -0.0959425 0.0931344
5853.26 0.0647561 -0.095039 0.0946627
5880.92 0.0633054 -0.0940272 0.0959621
5907.93 0.0618347 -0.0929083 0.0970297
5934.27 0.0603445 -0.0916835 0.0978627
5959.95 0.0588353 -0.0903544 0.0984593
5984.95 0.0573076 -0.0889224 0.0988181
6009.27 0.0557619 -0.0873892 0.0989381
6032.91 0.0541986 -0.0857566 0.0988193
6055.85 0.0526184 -0.0840265 0.0984619
6078.1 0.0510217 -0.0822009 0.0978668
6099.64 0.0494091 -0.0802819 0.0970354
6120.48 0.047781 -0.0782717 0.09597
6140.6 0.0461381 -0.0761727 0.094673
6160 0.0444809 -0.0739873 0.0931477
6178.68 0.0428098 -0.071718 0.0913978
6196.63 0.0411255 -0.0693674 0.0894275
6213.85 0.0394284 -0.0669383 0.0872418
6230.34 0.0377192 -0.0644333 0.0848458
6246.08 0.0359984 -0.0618555 0.0822454
6261.08 0.0342665 -0.0592077 0.0794469
6275.33 0.0325241 -0.056493 0.0764572
6288.83 0.0307718 -0.0537145 0.0732834
6301.57 0.02901 -0.0508753 0.0699333
6313.56 0.0272395 -0.0479788 0.066415
6324.79 0.0254606 -0.0450281 0.062737
6335.25 0.0236741 -0.0420267 0.0589081
6344.94 0.0218804 -0.038978 0.0549377
6353.87 0.02008 -0.0358855 0.0508353
6362.02 0.0182737 -0.0327526 0.0466107
6369.4 0.0164618 -0.0295829 0.0422743
6376 0.0146451 -0.02638 0.0378364
6381.82 0.012824 -0.0231475 0.0333077
6386.87 0.010999 -0.019889 0.0286992
6391.13 0.0091708 -0.0166083 0.0240218
6394.6 0.00733988 -0.013309 0.0192869
6397.28 0.0055068 -0.00999476 0.0145057
6399.16 0.00367209 -0.00666938 0.0096898
6400.22 0.00183632 -0.00333655 0.0048507
