Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 5
Tolerance: 1e-10
Iterations needed: 69710
Calculation time; 2.81239

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
17.4436 0.0168535 -0.0216341 -0.0247166
37.0477 0.0339447 -0.0433083 -0.0491739
56.7952 0.0510916 -0.0645228 -0.0725023
76.5961 0.0681116 -0.0847867 -0.0938677
96.4193 0.0848254 -0.10363 -0.112502
116.25 0.101059 -0.120618 -0.127734
136.081 0.116648 -0.135358 -0.139008
155.908 0.131437 -0.147512 -0.14591
175.728 0.145287 -0.156803 -0.148181
195.538 0.158071 -0.163023 -0.14572
215.338 0.169681 -0.166035 -0.138594
235.126 0.180027 -0.165777 -0.127026
254.902 0.189039 -0.162258 -0.111393
274.665 0.196665 -0.155562 -0.0922036
294.415 0.202875 -0.145839 -0.0700824
314.15 0.207657 -0.133303 -0.0457443
333.872 0.211019 -0.118222 -0.0199682
353.579 0.212986 -0.100912 0.00643094
373.272 0.213601 -0.0817235 0.0326311
392.95 0.212921 -0.0610389 0.0578309
412.613 0.211018 -0.0392556 0.0812761
432.261 0.207974 -0.0167792 0.102283
451.894 0.203882 0.0059874 0.120259
471.512 0.198842 0.0286528 0.134718
491.115 0.19296 0.0508457 0.145293
510.704 0.186345 0.0722225 0.151743
530.284 0.179107 0.0924733 0.153953
549.881 0.171358 0.111327 0.151938
569.568 0.163206 0.128554 0.145828
589.507 0.154756 0.143972 0.135865
609.941 0.146107 0.157441 0.122387
631.108 0.137355 0.168869 0.105812
653.156 0.128585 0.178208 0.0866209
676.13 0.119879 0.18545 0.0653423
700.017 0.111308 0.190628 0.0425299
724.784 0.102934 0.193809 0.018747
750.392 0.094812 0.19509 -0.00545105
776.807 0.086988 0.194594 -0.0295322
804 0.0794996 0.192464 -0.0530009
831.943 0.0723762 0.188859 -0.0754095
860.614 0.0656399 0.183951 -0.0963666
889.994 0.0593055 0.177915 -0.115544
920.065 0.0533816 0.17093 -0.132679
950.81 0.0478705 0.163174 -0.147577
982.214 0.0427698 0.154816 -0.16011
1014.26 0.0380724 0.146022 -0.170216
1046.95 0.0337673 0.136943 -0.177889
1080.25 0.0298405 0.12772 -0.183179
1114.15 0.0262753 0.11848 -0.186184
1148.66 0.0230531 0.109336 -0.187041
1183.75 0.020154 0.100383 -0.185918
1219.4 0.0175569 0.0917055 -0.18301
1255.63 0.0152405 0.08337 -0.178525
1292.4 0.0131832 0.0754304 -0.172685
1329.71 0.0113636 0.0679271 -0.165713
1367.55 0.00976106 0.0608885 -0.157829
1405.9 0.00835537 0.0543319 -0.149246
1444.76 0.00712735 0.048265 -0.140166
1484.12 0.00605885 0.0426869 -0.130776
1523.97 0.00513282 0.0375896 -0.121245
1564.29 0.00433343 0.0329591 -0.111724
1605.07 0.00364603 0.0287766 -0.102341
1646.31 0.00305722 0.0250196 -0.0932095
1687.98 0.00255479 0.021663 -0.0844188
1730.09 0.0021277 0.0186797 -0.0760411
1772.62 0.00176602 0.0160418 -0.068131
1815.56 0.00146088 0.013721 -0.0607264
1858.9 0.0012044 0.0116891 -0.053851
1902.62 0.000989614 0.00991866 -0.0475155
1946.72 0.000810412 0.0083833 -0.0417198
1991.18 0.000661444 0.00705798 -0.0364544
2036 0.000538059 0.00591917 -0.0317024
2081.16 0.000436234 0.00494502 -0.0274411
2126.65 0.000352505 0.00411541 -0.0236431
2172.46 0.000283902 0.00341197 -0.0202782
2218.57 0.000227894 0.00281809 -0.0173141
2264.98 0.000182332 0.00231884 -0.0147178
2311.68 0.000145397 0.00190092 -0.012456
2358.65 0.000115563 0.00155253 -0.0104961
2405.88 9.15486e-05 0.00126331 -0.00880663
2453.36 7.22866e-05 0.00102418 -0.00735773
2501.07 5.68904e-05 0.000827283 -0.00612135
2549.02 4.46269e-05 0.000665802 -0.0050715
2597.17 3.48927e-05 0.000533897 -0.00418434
2645.53 2.71927e-05 0.000426577 -0.00343822
2694.08 2.11229e-05 0.000339603 -0.00281365
2742.8 1.63546e-05 0.000269393 -0.00229325
2791.69 1.26215e-05 0.000212935 -0.00186161
2840.73 9.70897e-06 0.00016771 -0.0015052
2889.92 7.44431e-06 0.000131622 -0.00121222
2939.23 5.68941e-06 0.000102934 -0.000972427
2988.66 4.33415e-06 8.02153e-05 -0.000777027
3038.19 3.29106e-06 6.22913e-05 -0.000618482
3087.82 2.49094e-06 4.8203e-05 -0.000490387
3137.53 1.87927e-06 3.71709e-05 -0.000387331
3187.3 1.41324e-06 2.85638e-05 -0.000304765
3237.13 1.05936e-06 2.18736e-05 -0.000238889
3287 7.91538e-07 1.66923e-05 -0.000186545
3336.91 5.89528e-07 1.26944e-05 -0.000145123
3386.83 4.37666e-07 9.62072e-06 -0.000112476
3436.76 3.23883e-07 7.26623e-06 -8.68486e-05
3486.68 2.38914e-07 5.46915e-06 -6.68116e-05
3536.59 1.75672e-07 4.10245e-06 -5.12076e-05
3586.46 1.28758e-07 3.06677e-06 -3.91035e-05
3636.29 9.40717e-08 2.28475e-06 -2.97511e-05
3686.07 6.85103e-08 1.69636e-06 -2.25529e-05
3735.77 4.97355e-08 1.25523e-06 -1.70341e-05
3785.4 3.59909e-08 9.25674e-07 -1.28192e-05
3834.94 2.59618e-08 6.80336e-07 -9.61239e-06
3884.37 1.86679e-08 4.98336e-07 -7.18184e-06
3933.68 1.33805e-08 3.63797e-07 -5.34662e-06
3982.87 9.56032e-09 2.64688e-07 -3.96614e-06
4031.91 6.80914e-09 1.91935e-07 -2.93161e-06
4080.81 4.8343e-09 1.38713e-07 -2.15922e-06
4129.53 3.42136e-09 9.99145e-08 -1.58471e-06
4178.08 2.41374e-09 7.17282e-08 -1.15894e-06
