Using arma::eig_sym to find values
nMin: 10
nMax: 400
dn: 10
rhoFinal: 5

---n--- ---calculationTime--- ---EV1--- ---EV2--- ---EV3--- ---EV4---
10 0.002707 2.91948 6.58303 9.93656 12.9165
20 0.000245 2.98033 6.9009 10.7562 14.5453
30 0.000642 2.99129 6.95632 10.8931 14.8029
40 0.001073 2.99511 6.9755 10.9402 14.8912
50 0.001351 2.99687 6.98434 10.9618 14.932
60 0.001854 2.99783 6.98913 10.9736 14.9541
70 0.002618 2.9984 6.99202 10.9806 14.9675
80 0.002744 2.99878 6.99389 10.9852 14.9762
90 0.003899 2.99904 6.99518 10.9883 14.9822
100 0.005929 2.99922 6.99609 10.9906 14.9865
110 0.006994 2.99935 6.99677 10.9923 14.9897
120 0.008446 2.99946 6.99729 10.9935 14.9922
130 0.011321 2.99954 6.99769 10.9945 14.9941
140 0.011745 2.9996 6.99801 10.9953 14.9956
150 0.011582 2.99965 6.99827 10.9959 14.9969
160 0.012868 2.99969 6.99848 10.9964 14.9979
170 0.013903 2.99973 6.99865 10.9969 14.9987
180 0.016375 2.99976 6.9988 10.9972 14.9994
190 0.018599 2.99978 6.99892 10.9975 15.0001
200 0.022088 2.9998 6.99903 10.9978 15.0006
210 0.024611 2.99982 6.99912 10.998 15.001
220 0.027054 2.99984 6.99919 10.9982 15.0014
230 0.03401 2.99985 6.99926 10.9984 15.0018
240 0.041757 2.99986 6.99932 10.9985 15.0021
250 0.043978 2.99988 6.99938 10.9986 15.0023
260 0.051901 2.99988 6.99942 10.9988 15.0026
270 0.045393 2.99989 6.99947 10.9989 15.0028
280 0.051203 2.9999 6.9995 10.999 15.003
290 0.056619 2.99991 6.99954 10.999 15.0031
300 0.062704 2.99991 6.99957 10.9991 15.0033
310 0.067144 2.99992 6.9996 10.9992 15.0034
320 0.073029 2.99992 6.99962 10.9992 15.0036
330 0.078365 2.99993 6.99964 10.9993 15.0037
340 0.088357 2.99993 6.99966 10.9994 15.0038
350 0.094282 2.99994 6.99968 10.9994 15.0039
360 0.102944 2.99994 6.9997 10.9994 15.004
370 0.113159 2.99994 6.99972 10.9995 15.0041
380 0.113399 2.99995 6.99973 10.9995 15.0042
390 0.120143 2.99995 6.99975 10.9996 15.0042
400 0.133644 2.99995 6.99976 10.9996 15.0043
