Comparing number of iterations needed.
nMin: 10
nMax: 400
dn: 10
rhoFianl: 5
Tolerance: 1e-10

---n--- ---iterations--- ---calculationTime--- ---EV1--- ---EV2--- ---EV3--- ---EV4---
10 143 4.2e-05 2.91948 6.58303 9.93656 12.9165
20 648 0.000454 2.98033 6.9009 10.7562 14.5453
30 1519 0.001767 2.99129 6.95632 10.8931 14.8029
40 2758 0.005036 2.99511 6.9755 10.9402 14.8912
50 4320 0.013791 2.99687 6.98434 10.9618 14.932
60 6284 0.025156 2.99783 6.98913 10.9736 14.9541
70 8573 0.042459 2.9984 6.99202 10.9806 14.9675
80 11236 0.073376 2.99878 6.99389 10.9852 14.9762
90 14235 0.114181 2.99904 6.99518 10.9883 14.9822
100 17628 0.171607 2.99922 6.99609 10.9906 14.9865
110 21344 0.242494 2.99935 6.99677 10.9923 14.9897
120 25391 0.341399 2.99946 6.99729 10.9935 14.9922
130 29855 0.516396 2.99954 6.99769 10.9945 14.9941
140 34705 0.703307 2.9996 6.99801 10.9953 14.9956
150 40033 0.933344 2.99965 6.99827 10.9959 14.9969
160 45506 1.10182 2.99969 6.99848 10.9964 14.9979
170 51180 1.3528 2.99973 6.99865 10.9969 14.9987
180 57813 1.67765 2.99976 6.9988 10.9972 14.9994
190 64036 2.06495 2.99978 6.99892 10.9975 15.0001
200 71169 2.59921 2.9998 6.99903 10.9978 15.0006
210 78376 3.13422 2.99982 6.99912 10.998 15.001
220 86281 3.79662 2.99984 6.99919 10.9982 15.0014
230 94181 4.54579 2.99985 6.99926 10.9984 15.0018
240 102818 5.52648 2.99986 6.99932 10.9985 15.0021
250 111108 6.45787 2.99988 6.99938 10.9986 15.0023
260 120734 7.60598 2.99988 6.99942 10.9988 15.0026
270 130041 8.8795 2.99989 6.99947 10.9989 15.0028
280 139933 10.7039 2.9999 6.9995 10.999 15.003
290 150254 12.2086 2.99991 6.99954 10.999 15.0031
300 160831 13.7409 2.99991 6.99957 10.9991 15.0033
310 172065 15.9375 2.99992 6.9996 10.9992 15.0034
320 183258 20.7952 2.99992 6.99962 10.9992 15.0036
330 194458 20.3429 2.99993 6.99964 10.9993 15.0037
340 207245 23.0541 2.99993 6.99966 10.9994 15.0038
350 219286 25.7485 2.99994 6.99968 10.9994 15.0039
360 231849 28.4518 2.99994 6.9997 10.9994 15.004
370 245750 32.1458 2.99994 6.99972 10.9995 15.0041
380 259080 35.9029 2.99995 6.99973 10.9995 15.0042
390 272387 39.5473 2.99995 6.99975 10.9996 15.0042
400 287521 47.8141 2.99995 6.99976 10.9996 15.0043
