units:
distance: m
velocity: m/s
mass: kg

name    x   y   z   vx   vy   vz   mass
sun 0 0 0 0 0 0 1.99e30      
earth 9.399e11 0 0 0 2.9788e4 0 5.97e24
mercury 3.6e11 0 0 0 4.73e4 0 3.30e23
venus 6.8e11 0 0 0 3.50e4 0 4.88e24
mars 1.43e12 0 0 0 2.41e4 0 6.42e23
jupiter 4.89e12 0 0 0 1.31e4 0 1.90e27
saturn 8.96e12 0 0 0 9.64e3 0 5.68e26
uranus 1.80e13 0 0 0 6.80e3 0 8.68e25
neptune 2.82e13 0 0 0 5.43e3 0 1.02e26
pluto 3.65e13 0 0 0 4.676e3 0 1.31e22
moon 9.41e11 0 0 0 2.88e4 0 7.35e22
